mukey,sand_pct,silt_pct,clay_pct
557345,22.4,55.1,22.5
557346,22.4,55.1,22.5
557295,67.9,19.6,12.5
557296,69.6,23.9,6.5
557297,69.6,23.9,6.5
557257,39.8,44.6,15.6
557258,39.8,44.6,15.6
557260,42.7,38.3,19
557261,42.7,38.3,19
557298,44.8,41.2,14
557301,44.8,41.2,14
557302,44.8,41.2,14
557319,45.3,43.2,11.5
557320,45.3,43.2,11.5
557325,45.3,43.2,11.5
557326,30.1,54.9,15
557333,32.3,56.2,11.5
557335,44.3,40.7,15
557336,44.3,40.7,15
557337,27.3,54.7,18
557338,27.3,54.7,18
557342,30.1,54.9,15
557343,30.1,54.9,15
557347,30.1,54.9,15
542715,29.1,53.4,17.5
542716,29.1,53.4,17.5
542717,21.7,54.8,23.5
542718,26.5,53.5,20
542719,26.5,53.5,20
542720,26.5,53.5,20
542721,26.5,53.5,20
542722,27.1,54.4,18.5
542723,30.5,56,13.5
542724,30.1,54.9,15
542725,30.1,54.9,15
542726,30.1,54.9,15
542727,30.1,54.9,15
542728,29.1,53.4,17.5
542729,29.1,53.4,17.5
542730,29.1,53.4,17.5
542731,29.1,53.4,17.5
542732,29.1,53.4,17.5
542733,23.1,54.6,22.3
542734,23.1,54.6,22.3
542735,23.1,54.6,22.3
542736,27.1,54.4,18.5
542737,41.6,37.4,21
542738,41.6,37.4,21
542739,41.6,37.4,21
542740,32.3,56.2,11.5
542741,26,54,20
542742,20,60,20
542743,26.5,53.5,20
542744,21,59,20
542745,21,59,20
542746,11.7,69.8,18.5
542747,11.7,69.8,18.5
542748,11.7,69.8,18.5
542749,11.7,69.8,18.5
542751,20,60,20
542752,20,60,20
542753,26.5,53.5,20
542754,30,55,15
542755,15,64,21
542756,15,64,21
542757,18,54.5,27.5
542758,18,54.5,27.5
542759,20.5,54.5,25
542760,30.1,54.9,15
542761,30.1,54.9,15
542762,30.1,54.9,15
542763,30.1,54.9,15
542764,26.3,52.7,21
542765,45.7,41.8,12.5
542766,45.7,41.8,12.5
542767,45.7,41.8,12.5
542768,30.1,54.9,15
542769,30.1,54.9,15
542770,26.5,53.5,20
542771,26.5,53.5,20
542772,26.5,53.5,20
542750,45,41,14
542773,44.8,41.2,14
542774,11.3,67.7,21
542775,29.1,53.4,17.5
542776,29.1,53.4,17.5
542777,29.1,53.4,17.5
542778,29.1,53.4,17.5
542779,29.1,53.4,17.5
542780,29.1,53.4,17.5
542781,23,58,19
542782,30.1,54.9,15
542783,13.7,69.3,17
542784,13.7,69.3,17
542785,7,69.5,23.5
542786,11.4,68.6,20
542787,30.1,54.9,15
542788,30.1,54.9,15
542789,30.1,54.9,15
542791,29.1,53.4,17.5
542792,29.1,53.4,17.5
558453,,,0
542793,30.1,54.9,15
542794,44.3,40.7,15
542795,44.3,40.7,15
542796,44.3,40.7,15
542797,44.3,40.7,15
542798,44.3,40.7,15
542799,44.3,40.7,15
542801,42.1,37.9,20
558454,30.4,55.4,14.2
